"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"投资接口测试","892","test_api_tender[1-cert001-100.5-100]","scripts","Tue Aug 25 02:49:09 UTC 2026","passed","Tue Aug 25 02:49:10 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"实名认证测试","870","test_api_approve_realname[!@#$-110101199001011234-100]","scripts","Tue Aug 25 02:48:33 UTC 2026","passed","Tue Aug 25 02:48:34 UTC 2026","TestAPIAccount","test_api_03_account","",""
"充值接口测试","1031","test_api_recharge[chinapnrTrust--100-reForm-8888-100]","scripts","Tue Aug 25 02:48:46 UTC 2026","passed","Tue Aug 25 02:48:47 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"注册接口测试","756","test_api_register[18800006000-123-8888-666666-100]","scripts","Tue Aug 25 02:48:17 UTC 2026","failed","Tue Aug 25 02:48:18 UTC 2026","TestAPIRegister","test_api_01_register","",""
"登录接口测试","430","test_api_login[18800003000-Aa123456-100]","scripts","Tue Aug 25 02:48:22 UTC 2026","failed","Tue Aug 25 02:48:22 UTC 2026","TestAPILogin","test_api_02_login","",""
"充值接口测试","1028","test_api_recharge[alipay-100-reForm-8888-100]","scripts","Tue Aug 25 02:48:56 UTC 2026","passed","Tue Aug 25 02:48:57 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"实名认证测试","886","test_api_approve_realname[\u5f20\u4e09--100]","scripts","Tue Aug 25 02:48:28 UTC 2026","passed","Tue Aug 25 02:48:29 UTC 2026","TestAPIAccount","test_api_03_account","",""
"充值接口测试","1090","test_api_recharge[chinapnrTrust-50-reForm--100]","scripts","Tue Aug 25 02:48:51 UTC 2026","passed","Tue Aug 25 02:48:52 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"登录接口测试","385","test_api_login[18800004000-Aa123456-100]","scripts","Tue Aug 25 02:48:24 UTC 2026","passed","Tue Aug 25 02:48:25 UTC 2026","TestAPILogin","test_api_02_login","",""
"开户测试","894","test_api_trust_register","scripts","Tue Aug 25 02:48:41 UTC 2026","passed","Tue Aug 25 02:48:42 UTC 2026","TestAPIAccount","test_api_03_account","",""
"投资接口测试","857","test_api_tender[999999-cert001-100-100]","scripts","Tue Aug 25 02:49:03 UTC 2026","passed","Tue Aug 25 02:49:04 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"实名认证测试","865","test_api_approve_realname[\u5f20-110101199001011234-100]","scripts","Tue Aug 25 02:48:29 UTC 2026","passed","Tue Aug 25 02:48:30 UTC 2026","TestAPIAccount","test_api_03_account","",""
"登录接口测试","394","test_api_login[18800002008-Aa123456-200]","scripts","Tue Aug 25 02:48:21 UTC 2026","passed","Tue Aug 25 02:48:21 UTC 2026","TestAPILogin","test_api_02_login","",""
"实名认证测试","884","test_api_approve_realname[\u5f20\u4e09-1101011990010112345-100]","scripts","Tue Aug 25 02:48:33 UTC 2026","passed","Tue Aug 25 02:48:33 UTC 2026","TestAPIAccount","test_api_03_account","",""
"投资接口测试","871","test_api_tender[-cert001-100-100]","scripts","Tue Aug 25 02:48:59 UTC 2026","passed","Tue Aug 25 02:49:00 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"投资接口测试","863","test_api_tender[1-cert001--50-100]","scripts","Tue Aug 25 02:49:01 UTC 2026","passed","Tue Aug 25 02:49:02 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"实名认证测试","866","test_api_approve_realname[\u5f20\u4e09-123456-100]","scripts","Tue Aug 25 02:48:31 UTC 2026","passed","Tue Aug 25 02:48:32 UTC 2026","TestAPIAccount","test_api_03_account","",""
"充值接口测试","1052","test_api_recharge[chinapnrTrust-100-reForm-8888-200]","scripts","Tue Aug 25 02:48:42 UTC 2026","passed","Tue Aug 25 02:48:43 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"注册接口测试","857","test_api_register[18800005000--8888-666666-100]","scripts","Tue Aug 25 02:48:16 UTC 2026","failed","Tue Aug 25 02:48:17 UTC 2026","TestAPIRegister","test_api_01_register","",""
"实名认证测试","875","test_api_approve_realname[\u738b\u4e94-320102198812123456-100]","scripts","Tue Aug 25 02:48:35 UTC 2026","passed","Tue Aug 25 02:48:36 UTC 2026","TestAPIAccount","test_api_03_account","",""
"投资接口测试","853","test_api_tender[abc-cert001-100-100]","scripts","Tue Aug 25 02:49:10 UTC 2026","passed","Tue Aug 25 02:49:11 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"登录接口测试","344","test_api_login[-Aa123456-100]","scripts","Tue Aug 25 02:48:22 UTC 2026","passed","Tue Aug 25 02:48:22 UTC 2026","TestAPILogin","test_api_02_login","",""
"投资接口测试","867","test_api_tender[1-cert001-500-100]","scripts","Tue Aug 25 02:49:08 UTC 2026","passed","Tue Aug 25 02:49:08 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"实名认证测试","852","test_api_approve_realname[\u5f20\u4e09\u5f20\u4e09\u5f20\u4e09\u5f20\u4e09\u5f20\u4e09-110101199001011234-100]","scripts","Tue Aug 25 02:48:30 UTC 2026","passed","Tue Aug 25 02:48:31 UTC 2026","TestAPIAccount","test_api_03_account","",""
"投资接口测试","867","test_api_tender[1-cert001-1-100]","scripts","Tue Aug 25 02:49:07 UTC 2026","passed","Tue Aug 25 02:49:08 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"充值接口测试","1031","test_api_recharge[chinapnrTrust-99999999-reForm-8888-100]","scripts","Tue Aug 25 02:48:47 UTC 2026","passed","Tue Aug 25 02:48:48 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"实名认证测试","853","test_api_approve_realname[\u5f20\u4e09-110101199002020000-100]","scripts","Tue Aug 25 02:48:39 UTC 2026","passed","Tue Aug 25 02:48:40 UTC 2026","TestAPIAccount","test_api_03_account","",""
"实名认证测试","888","test_api_approve_realname[\u6d4b\u8bd5\u7528\u6237-110101199506157890-200]","scripts","Tue Aug 25 02:48:40 UTC 2026","passed","Tue Aug 25 02:48:40 UTC 2026","TestAPIAccount","test_api_03_account","",""
"充值接口测试","1055","test_api_recharge[chinapnrTrust-1-reForm-8888-200]","scripts","Tue Aug 25 02:48:53 UTC 2026","passed","Tue Aug 25 02:48:54 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"实名认证测试","860","test_api_approve_realname[\u5f20\u4e09-110101199001011234-100]","scripts","Tue Aug 25 02:48:26 UTC 2026","passed","Tue Aug 25 02:48:27 UTC 2026","TestAPIAccount","test_api_03_account","",""
"登录接口测试","425","test_api_login[18800002008 -Aa123456-200]","scripts","Tue Aug 25 02:48:26 UTC 2026","passed","Tue Aug 25 02:48:26 UTC 2026","TestAPILogin","test_api_02_login","",""
"充值接口测试","1073","test_api_recharge[chinapnrTrust-abc-reForm-8888-100]","scripts","Tue Aug 25 02:48:48 UTC 2026","passed","Tue Aug 25 02:48:50 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"充值接口测试","1064","test_api_recharge[wrongType-100-reForm-8888-100]","scripts","Tue Aug 25 02:48:50 UTC 2026","passed","Tue Aug 25 02:48:51 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"充值接口测试","1052","test_api_recharge[chinapnrTrust-0-reForm-8888-100]","scripts","Tue Aug 25 02:48:45 UTC 2026","passed","Tue Aug 25 02:48:46 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"登录接口测试","345","test_api_login[1880000200888888888-Aa123456-100]","scripts","Tue Aug 25 02:48:23 UTC 2026","passed","Tue Aug 25 02:48:23 UTC 2026","TestAPILogin","test_api_02_login","",""
"充值接口测试","1038","test_api_recharge[-100-reForm-8888-100]","scripts","Tue Aug 25 02:48:43 UTC 2026","passed","Tue Aug 25 02:48:44 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"投资接口测试","869","test_api_tender[1-cert001-0-100]","scripts","Tue Aug 25 02:49:01 UTC 2026","passed","Tue Aug 25 02:49:01 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"登录接口测试","363","test_api_login[18800002008-!@#$%-100]","scripts","Tue Aug 25 02:48:25 UTC 2026","passed","Tue Aug 25 02:48:25 UTC 2026","TestAPILogin","test_api_02_login","",""
"实名认证测试","853","test_api_approve_realname[\u5f20\u4e09-11010119900101123x-100]","scripts","Tue Aug 25 02:48:38 UTC 2026","passed","Tue Aug 25 02:48:39 UTC 2026","TestAPIAccount","test_api_03_account","",""
"登录接口测试","350","test_api_login[18800002008-123-100]","scripts","Tue Aug 25 02:48:23 UTC 2026","passed","Tue Aug 25 02:48:24 UTC 2026","TestAPILogin","test_api_02_login","",""
"投资接口测试","871","test_api_tender[2-cert002-50-100]","scripts","Tue Aug 25 02:49:06 UTC 2026","passed","Tue Aug 25 02:49:07 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"登录接口测试","338","test_api_login[18800002008-AA123456-100]","scripts","Tue Aug 25 02:48:25 UTC 2026","passed","Tue Aug 25 02:48:26 UTC 2026","TestAPILogin","test_api_02_login","",""
"登录接口测试","344","test_api_login[18800002008-abcdefg-100]","scripts","Tue Aug 25 02:48:26 UTC 2026","passed","Tue Aug 25 02:48:26 UTC 2026","TestAPILogin","test_api_02_login","",""
"充值接口测试","1045","test_api_recharge[chinapnrTrust-200--8888-100]","scripts","Tue Aug 25 02:48:52 UTC 2026","passed","Tue Aug 25 02:48:53 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"登录接口测试","357","test_api_login[18800002008-wrong-100]","scripts","Tue Aug 25 02:48:21 UTC 2026","passed","Tue Aug 25 02:48:22 UTC 2026","TestAPILogin","test_api_02_login","",""
"登录接口测试","388","test_api_login[18800002008--100]","scripts","Tue Aug 25 02:48:22 UTC 2026","passed","Tue Aug 25 02:48:23 UTC 2026","TestAPILogin","test_api_02_login","",""
"注册接口测试","533","test_api_register[18800008000-Aa123456--666666-100]","scripts","Tue Aug 25 02:48:19 UTC 2026","passed","Tue Aug 25 02:48:19 UTC 2026","TestAPIRegister","test_api_01_register","",""
"充值接口测试","1074","test_api_recharge[chinapnrTrust-1000-reForm-8888-200]","scripts","Tue Aug 25 02:48:55 UTC 2026","passed","Tue Aug 25 02:48:56 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"登录接口测试","352","test_api_login[!@#$%-Aa123456-100]","scripts","Tue Aug 25 02:48:25 UTC 2026","passed","Tue Aug 25 02:48:25 UTC 2026","TestAPILogin","test_api_02_login","",""
"实名认证测试","891","test_api_approve_realname[-110101199001011234-100]","scripts","Tue Aug 25 02:48:27 UTC 2026","passed","Tue Aug 25 02:48:28 UTC 2026","TestAPIAccount","test_api_03_account","",""
"实名认证测试","866","test_api_approve_realname[\u5f20\u4e09-abcdefghijklmnopqr-100]","scripts","Tue Aug 25 02:48:37 UTC 2026","passed","Tue Aug 25 02:48:38 UTC 2026","TestAPIAccount","test_api_03_account","",""
"充值接口测试","1068","test_api_recharge[chinapnrTrust--reForm-8888-100]","scripts","Tue Aug 25 02:48:44 UTC 2026","passed","Tue Aug 25 02:48:45 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"注册接口测试","803","test_api_register[18800007000-Aa12345678901234567890-8888-666666-100]","scripts","Tue Aug 25 02:48:18 UTC 2026","failed","Tue Aug 25 02:48:19 UTC 2026","TestAPIRegister","test_api_01_register","",""
"投资接口测试","862","test_api_tender[-1-cert001-100-100]","scripts","Tue Aug 25 02:49:05 UTC 2026","passed","Tue Aug 25 02:49:06 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"注册接口测试","756","test_api_register[18800010000-Aa12345678-8888-666666-200]","scripts","Tue Aug 25 02:48:20 UTC 2026","passed","Tue Aug 25 02:48:21 UTC 2026","TestAPIRegister","test_api_01_register","",""
"投资接口测试","861","test_api_tender[1-cert001-100-100]","scripts","Tue Aug 25 02:48:58 UTC 2026","passed","Tue Aug 25 02:48:59 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"注册接口测试","813","test_api_register[18800003000-Aa123456-8888-666666-100]","scripts","Tue Aug 25 02:48:13 UTC 2026","failed","Tue Aug 25 02:48:14 UTC 2026","TestAPIRegister","test_api_01_register","",""
"注册接口测试","941","test_api_register[-Aa123456-8888-666666-100]","scripts","Tue Aug 25 02:48:15 UTC 2026","passed","Tue Aug 25 02:48:16 UTC 2026","TestAPIRegister","test_api_01_register","",""
"登录流程测试","341","test_api_login_only","scripts","Tue Aug 25 02:48:11 UTC 2026","failed","Tue Aug 25 02:48:12 UTC 2026","TestAPIBusiness","test_api_00_business","",""
"投资接口测试","877","test_api_tender[1-cert001-abc-100]","scripts","Tue Aug 25 02:49:04 UTC 2026","passed","Tue Aug 25 02:49:05 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"实名认证测试","889","test_api_approve_realname[\u8d75\u516d-440305199203154321-100]","scripts","Tue Aug 25 02:48:36 UTC 2026","passed","Tue Aug 25 02:48:37 UTC 2026","TestAPIAccount","test_api_03_account","",""
"投资接口测试","969","test_api_tender[1--1-100-200]","scripts","Tue Aug 25 02:49:11 UTC 2026","passed","Tue Aug 25 02:49:12 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
"注册接口测试","745","test_api_register[123-Aa123456-8888-666666-100]","scripts","Tue Aug 25 02:48:16 UTC 2026","passed","Tue Aug 25 02:48:16 UTC 2026","TestAPIRegister","test_api_01_register","",""
"充值接口测试","1038","test_api_recharge[chinapnrTrust-100.5-reForm-8888-200]","scripts","Tue Aug 25 02:48:57 UTC 2026","passed","Tue Aug 25 02:48:58 UTC 2026","TestAPIRechargeTender","test_api_04_recharge_tender","",""
